问题id,问题,FA
579,进入常熟风范电力设备股份有限公司所属行业的主要障碍有哪些？,"进入常熟风范电力设备股份有限公司所属行业的主要障碍有：

  1. 生产许可经营的壁垒: 为了保证电力运行的安全，国家对输电线路铁塔的生产实行严格的生产许可证制度，企业必须取得国家质检总局颁发的生产许可证才能进行输电线路铁塔生产活动。
  2. 资质壁垒: 出于对电网安全运行的考虑，电力系统对电力设备制造商实行严格的标准化管理和资质审查，产品实行认证制度，厂商新研制的各类设备要取得入网运行资格，除了需要有半年至一年的试运行考验外，还必须通过国家或行业权威检测机构的各种试验检测并通过产品鉴定。产品销售一般都要通过招投标方式获得，而招标方对投标单位都有较为严格的资质要求和以往的业绩要求，这对新进入的企业形成一定的资质壁垒。"
586,2015年末珠海健帆生物科技股份有限公司的货币资金相比2014年末增加了多少？这个增加主要是由于什么原因？,2015年末珠海健帆生物科技股份有限公司的货币资金相比2014年末增加了148.89%，这个增加主要是由于公司首次公开发行股票收到募集资金以及货款回收良好等原因导致。
587,假设股票日收益率计算公式为：日收益率=（当日收盘价-昨收盘价）/昨收盘价。请帮我找到在2020年，申万行业分类行业划分标准，建筑材料一级行业中，代码为多少的股票的日均收益率最高？,无法回答
592,报告期内，深圳市超频三科技股份有限公司直接材料成本占营业成本比例分别为多少？,报告期内，深圳市超频三科技股份有限公司直接材料成本占营业成本比例分别为 78.31%、75.40% 和 76.27%。
595,湖南南岭民用爆破器材股份有限公司监事有谁？,湖南南岭民用爆破器材股份有限公司的监事有唐竞男和王先文。
596,深圳市铁汉生态环境股份有限公司公司的人才队伍有副研究员、高级工程师各几人？,根据给定材料，深圳市铁汉生态环境股份有限公司公司的人才队伍中有副研究员1人、高级工程师9人。
600,根据海南双成药业股份有限公司招股意向书，医药行业的主要销售渠道是怎样的？,医药行业的销售渠道主要包括医院、零售药店和电商平台三种形式。其中，医院为主要销售渠道，占比达到70%左右；零售药店占比约为20%，电商平台占比相对较小。
601,江苏爱康太阳能科技股份有限公司实际控制人是谁？,江苏爱康太阳能科技股份有限公司的实际控制人是邹承慧。
607,请查询：在2019的年度报告中，个人投资者持有基金份额大于机构投资者持有基金份额的基金属于其他型类型的有几个。,根据您提供的材料，我无法找到关于2019年个人投资者持有基金份额大于机构投资者持有基金份额的基金属于其他类型的具体数据。因此，我无法回答这个问题。
609,国科微电子计划在哪里建立一个研发产业基地？,国科微电子计划在国家级长沙经济技术开发区建立一个集广播电视、安防监控、固态存储、物联网等细分领域芯片研发产业基地。
610,2016年-2018年，北京天宜上佳高新材料股份有限公司参与并中标的铁总联采数量分别为多少？,2016年-2018年，北京天宜上佳高新材料股份有限公司参与并中标的铁总联采数量分别为2.05万片、2.51万片和4.67万片。
611,在与索特传动的产品争议中，浙江双飞无油轴承股份有限公司承担多少的维修发生额？,浙江双飞无油轴承股份有限公司承担了610.912万元的维修金额。
613,2021年年度报告里，中海基金管理有限公司管理的基金中，机构投资者持有份额比个人投资者多的基金有多少只?,根据给出的材料，我无法找到关于“2021年年度报告里，中海基金管理有限公司管理的基金中，机构投资者持有份额比个人投资者多的基金有多少只？”的具体信息。因此，我无法回答这个问题。
615,2009年、2008年、2007年兰州海默科技股份有限公司的综合毛利率分别是多少？,2009年、2008年、2007年兰州海默科技股份有限公司的综合毛利率分别为54.09%、56.62%、48.93%。
617,青海互助青稞酒股份有限公司2010年经备案的青稞收购量及实际采购量是多少？,"根据给定材料，青海互助青稞酒股份有限公司2010年经备案的青稞收购量及实际采购量如下表所示：

| 项目 | 经备案的收购量(吨) | 实际采购量(吨) |
| --- | --- | --- |
| 2010年 | 12,231.25 | 11,823.25 |

因此，答案为：青海互助青稞酒股份有限公司2010年经备案的青稞收购量及实际采购量分别为12,231.25吨和11,823.25吨。"
624,青海互助青稞酒股份有限公司2010年度营业收入与净利润是多少？,"青海互助青稞酒股份有限公司2010年度营业收入与净利润是多少？
根据给定材料，无法直接找到答案。"
627,宁波立立电子股份有限公司主要产品是什么？,宁波立立电子股份有限公司的主要产品是半导体硅材料行业的硅单晶锭、硅抛光片、硅外延片及功率肖特基二极管芯片。
629,根据深圳信立泰药业股份有限公司招股意向书，进入医药行业的壁垒较高，有哪几个方面？,进入医药行业的壁垒较高，目前主要有以下几个方面：1、政策壁垒除符合一般性法律、法规以外，本行业企业还要具备《中华人民共和国药品管理法》规定的经营条件，包括具有依法经过资格认定的药学技术人员、工程技术人员及相应的技术工人；具有与其药品生产相适应的厂房、设施和卫生环境；具有能对所生产药品进行质量管理和质量检验的机构、人员以及必要的仪器设备；具有保证药品质量的规章制度；取得《药品生产许可证》；通过GMP认证等。2、资金壁垒医药行业是高投入行业，其新产品开发投入高，周期长，风险大；药品生产专用设备多，重要仪器设备依赖进口，费用昂贵；产品销售渠道复杂，环节多，资金周转偏慢，营业费用所占比例较高。因此，新进入者通常需要很长的启动时间，资金压力较大。3、市场壁垒我国医药行业企业数量多，盈利能力参差不齐，产品的差异化程度不高，市场竞争较为激烈。
630,截至2007年12月31日，宁波立立电子股份有限公司存货账面价值为多少？占总资产的多大比例？,"宁波立立电子股份有限公司2007年12月31日的存货账面价值为12,392.06万元，占总资产的17.12%。"
633,兰州海默科技股份有限公司的主要产品有哪些？,兰州海默科技股份有限公司的主要产品包括多相流量计、石油测井仪器、压裂泵液力端部件以及油田服务业务。此外，该公司还从事机电产品（不含进口摄录像机）的批发零售、油田技术服务、石油化工设备的销售以及钻探施工等业务。
634,嘉实基金管理有限公司管理的股票型产品的数量有多少?,材料中没有提到嘉实基金管理有限公司管理的股票型产品的数量。
639,湖南长远锂科股份有限公司报告期内何时发生了重大资产重组？该重大资产重组是什么？,湖南长远锂科股份有限公司报告期内发生了重大资产重组。本次重组系中国五矿将其控制的新能源电池正极材料板块的经营性资产无偿划转至公司，该重大资产重组完成后，公司取得了长远锂科的控股权，从而纳入合并报表范围。本次重组构成同一控制下企业合并，根据企业会计准则的规定，应当视同合并后的报告主体自最终控制方开始控制时点起一直存在，因此对比较期间财务报表进行追溯调整。
643,根据募集资金项目的可行性研究报告，项目全部达产后，杭州中恒电气股份有限公司可增加多少销售收入？新增利润总额为多少？,"根据材料所示，本次募集资金投资项目达产后，杭州中恒电气股份有限公司可增加销售收入32,760万元，新增利润总额5,585万元。"
646,本次发行前，汉嘉设计集团股份有限公司实际控制人是谁？,发行人实际控制人为岑政平、欧薇舟夫妇。
649,报告期内，深圳市超频三科技股份有限公司筹资活动产生的现金流量净额分别为多少？,"根据给定材料，深圳市超频三科技股份有限公司的筹资活动产生的现金流量净额分别为 1,115.73 万元、-262.95 万元和 4,942.91 万元。"
651,报告期各期末，山东海看网络科技有限公司及其控股子公司在册员工总数为多少人？,"经过分析，我们发现答案就在材料中提到的"" 报告期各期末，山东海看网络科技有限公司及其控股子公司在册员工总数分别为358人、342人及336人。""所以，答案是358人、342人及336人。"
653,2017年末，汉嘉设计集团股份有限公司的应收账款净额是多少？,"2017年末，汉嘉设计集团股份有限公司的应收账款净额为30,324.04万元。"
655,湖南南岭民用爆破器材股份有限公司技术中心下设哪些部门？,湖南南岭民用爆破器材股份有限公司技术中心下设产品开发部、技术服务部、信息管理部、测试中心、质量管理部五个部门。
656,根据《国民经济行业分类》，汉嘉设计集团股份有限公司主营业务所属行业是什么？分类代码是什么？,根据给定材料，汉嘉设计集团股份有限公司主营业务所属行业是专业技术服务业，分类代码是M74。
659,2019年中期报告里，国融基金管理有限公司管理的基金中，机构投资者持有份额比个人投资者多的基金有多少只?,根据给定材料，无法找到关于国融基金管理有限公司管理的基金中机构投资者持有份额比个人投资者多的基金的信息。
660,华瑞股份第二次股权转让在哪一年发生？,华瑞股份第二次股权转让发生在2014年12月。
662,联化科技股份有限公司设立以来的业务发展过程可以分为哪几个阶段？,"联化科技股份有限公司设立以来的业务发展过程可以分为以下几个阶段:

  1. 1986-1990 年的香精、香料业务:公司主要从事香精、香料的生产经营，并开始从事染料中间体的研发、生产及销售工作。
  2. 1990-1998 年的染料中间体业务:公司逐渐淘汰了附加值较低的香精、香料产品，专注于染料中间体的研发和生产，并取得了显著的业绩增长。
  3. 近年来，为了更贴近市场、掌握市场动态，公司注重国内外精细化工产品的信息交流，从而在第一时间掌握了国内外市场供需情况资料。公司的产品结构、产量以及新产品开发策略均根据国内外市场的变化和客户的需求进行及时调整，产品应市场而更新换代，保证了公司产品的较高市场占有率，使公司在激烈的市场竞争中保持着较强的生机和活力。

综上所述，联化科技股份有限公司成立以来经历了两个重要的发展阶段，分别是香精、香料业务和染料中间体业务阶段，现在正处于精细化工产品的研制与销售阶段。"
664,2015年末珠海健帆生物科技股份有限公司资产总额比2014年末增加了多少？,2015年末珠海健帆生物科技股份有限公司资产总额为12461.09万元，比2014年末增加了4272.05万元。
665,请问2020年三季度有多少家基金是净申购?它们的净申购份额加起来是多少?请四舍五入保留小数点两位。,无法回答
666,华达汽车科技股份有限公司的主要无形资产是什么？,华达汽车科技股份有限公司的主要无形资产是土地使用权、软件和专利技术。
667,最近三年及一期，江苏旷达汽车织物集团股份有限公司汽车内饰面料产品的毛利率分别为多少？呈现怎样的趋势？,最近三年及一期，江苏旷达汽车织物集团股份有限公司汽车内饰面料产品的毛利率分别为39.27%、34.18%、35.27%和33.51%，呈现整体略微下降的趋势。
668,根据江苏爱康太阳能科技股份有限公司招股意向书，2009年我国光伏新增装机容量占全球市场需求份额的多少？,2009年我国光伏新增装机容量占全球市场需求份额为2.22%。
672,青海互助青稞酒股份有限公司材料采购物资主要有哪些？,青海互助青稞酒股份有限公司材料采购物资主要有青稞、谷糠等原辅材料和酒瓶、纸箱等包装材料。
678,截至本招股意向书签署日，山东海看网络科技有限公司IPTV智能运营平台能够支持多少终端用户同时在线观看？,"截至本招股意向书签署日，山东海看网络科技有限公司IPTV智能运营平台能够支持2,000万终端用户同时在线观看。"
681,青海互助青稞酒股份有限公司本次发行股票的数量、每股面值分别是多少？,"青海互助青稞酒股份有限公司本次发行股票的数量为6,000万股，每股面值为1元。"
682,联化科技股份有限公司主要产品处于精细化工产业链的哪个阶段？,联化科技股份有限公司主要产品处于精细化工产业链的精细化学高级中间体阶段。
684,读者出版传媒股份有限公司所在行业具有怎样的波动性特征？销售高峰是什么时候？,读者出版传媒股份有限公司所在行业为出版业，其波动性特征主要表现在教材教辅销售市场上。教材教辅的销售高峰主要出现在每年春、秋两季开学时，形成图书市场销售季节性波动的特征。
685,云南沃森生物技术股份有限公司的疫苗研发团队由多少人组成？,云南沃森生物技术股份有限公司的疫苗研发团队由 110 人组成。
687,新疆浩源天然气股份有限公司所处行业的经营特点是怎样的？,新疆浩源天然气股份有限公司所处行业的经营特点是天然气的管道运输及分销，位于天然气行业产业链的中下游。
692,杭州中恒电气股份有限公司本次募投项目涉及的新产品是什么？,根据给定材料，杭州中恒电气股份有限公司本次募投项目涉及的新产品没有明确说明。
693,2014年珠海健帆生物科技股份有限公司应收账款增加的主要原因是什么？,2014年珠海健帆生物科技股份有限公司应收账款增加的主要原因是因为公司销售规模的快速增长和巨大的市场需求，导致公司应收账款相应增长。
694,湖南国科微电子股份有限公司近三年四季度实现的净利润均高于全年净利润的原因有哪些？,湖南国科微电子股份有限公司近三年四季度实现的净利润均高于全年净利润的原因主要是因为公司营业收入存在季节性波动，而公司新产品多集中于四季度量产并投放市场，因此会使得公司四季度的收入较高。此外，由于公司费用发生年度内相对均衡，从而使得公司盈利能力集中在四季度实现。因此，以上因素综合导致了公司近四季
696,2016年大博医疗科技股份有限公司电费单价为什么下降？,根据材料所示，大博医疗科技股份有限公司在2016年的电费单价较2015年略有下降，主要是由于2016年之前公司新厂房仍处于试生产阶段，能源耗用较低，但是公司新厂房电表需每月缴纳一定金额基础电费，导致单价较高，2016年开始公司新厂房能源耗用上升，用电单价趋于平稳，整体用电单价随之降低。因此，为了节约成本，公司在2016年加大了对节能技术的投入和改造，使得电费单价有所下降。
697,截至本招股意向书出具之日，广东银禧科技股份有限公司共拥有多少发明专利？,截至本招股意向书出具之日，广东银禧科技股份有限公司共拥有9项发明专利（其中与四川大学共同拥有发明专利3项，与华南理工共同拥有发明专利1项）。
699,确成硅化学股份有限公司所在地在何处？,确成硅化学股份有限公司的所在地为无锡市锡山区东港镇东青河村。
700,烟台杰瑞石油服务集团股份有限公司的上下游行业是什么？,根据给定材料，烟台杰瑞石油服务集团股份有限公司的上下游行业主要是油田专用设备制造业以及油田、矿山设备维修改造及配件销售业。
701,内蒙古君正能源化工股份有限公司及其子公司享受的税收优惠政策有哪些？,"公司及其下属子公司享受的税收优惠政策包括： 
1. 根据内蒙古自治区财税[2008]156号文件，2009年1月1日起实行增值税即征即退政策； 
2. 根据乌海市国家税务局下发的乌海国税所字[2006]178号文件，君正化工享受西部大开发企业所得税优惠政策，2007年至2008年免征所得税，2009年至2011年所得税减半计征；3. 君正化工根据内蒙古自治区内政发[2001]60号文件中第五条第三款和内蒙古自治区地方税务局、科技厅的有关补充通知中：“经自治区科技管理部门审批，认定的国家高新技术开发区外的高新技术企业，从认定之日起，其所得税免征五年”的规定，以及内蒙古自治区国家税务局国税所函[2008]4号文件和乌海市国税局乌海国税所字[2008]11号文件的批复，该公司享受高新技术企业所得税优惠政策，2007年度免征所得税。"
702,昇兴集团股份有限公司的英文名称是？,"星兴集团股份有限公司的英文名称是：ShengXing Group Co., Ltd."
703,北京天宜上佳高新材料股份有限公司在报告期内主要从事什么业务？,北京天宜上佳高新材料股份有限公司在报告期内主要从事高铁动车组用粉末冶金闸片及机车、城轨车辆闸片、闸瓦系列产品的研发、生产和销售。
704,大博医疗科技股份有限公司注册资本是多少？,"大博医疗科技股份有限公司的注册资本是36,000.00万元。"
705,湖南长远锂科股份有限公司董事会成员是谁？,湖南长远锂科股份有限公司董事会成员包括杨应亮、周万春、黄怒波、黄赐吡、高振亚、谢赵清、张树全、陈华、雷新文、饶冰笑、李书锋、何学宽、肖国旗、邓超、唐narath钠、刘柳青、王震西、陈新文、许军、徐志勇、周志成、易丹青、彭晓洁、李良平等28人。
711,东莞勤上光电股份有限公司获得多少项国内专利？其中有多少项发明专利？,东莞勤上光电股份有限公司截至2011年6月30日，公司拥有专利166项，其中发明专利24项。
712,南京中电联环保股份有限公司业务范围涉及哪些行业？,南京中电联环保股份有限公司业务范围涉及火电、核电、石化、煤化工、冶金等多个行业。
713,江苏爱康太阳能科技股份有限公司拥有的控股子公司是哪些？,江苏爱康太阳能科技股份有限公司拥有的控股子公司包括南通爱康、张家港爱康、佛山同兴、苏州爱康安装、苏州爱康新材料、无锡爱康。
717,新疆浩源天然气股份有限公司上、下游企业有哪些？,根据给定材料，新疆浩源天然气股份有限公司的上游企业主要是油气生产企业，包括中石油、中国石油化工股份有限公司、中国海洋石油总公司三家企业，它们是中国最大的天然气长输管道行业企业。而下游企业主要为城市燃气公司及工业用户。
720,西安启源机电装备股份有限公司上游行业发展状况对本行业制约情况如何？,西安启源机电装备股份有限公司上游行业属于竞争性行业，总体上受宏观经济变动影响较大。但是，由于专用设备行业要求的技术水平高，技术综合性较强，整体水平的提升需要相关配套行业的协调发展。因此，由于我国机械加工技术与国际相比仍相对落后，整体配套能力不强，对本行业的发展有一定的制约作用。另外，上游行业发展状况也会影响本行业的成本和供应链稳定性。
723,2008年度深圳信立泰药业股份有限公司适用税率为多少的减半征收企业所得税的优惠政策？,2008年度深圳信立泰药业股份有限公司适用税率为18%的减半征收企业所得税的优惠政策。根据《中华人民共和国企业所得税法》和《国务院关于实施企业所得税过渡优惠政策的通知》规定，公司在新税法施行后5年内逐步过渡到法定税率（其中2008年按18%税率执行），因此2008年度该公司适用的企业所得税税率为18%，且由于该公司为高新技术产业，因此可在此基础上减半征收企业所得税，实际税率为9%。
724,湖南国科微电子股份有限公司设计的哪些产品具备较高的性价比，形成了较为明显的领先优势？,根据给定材料，湖南国科微电子股份有限公司设计的广播电视系列芯片和智能监控系列芯片具备较高的性价比，形成了较为明显的领先优势。
726,读者出版传媒股份有限公司如何应对纸质媒体竞争加剧，消费群体扩张难度加大的经营管理风险？,面对纸质媒体竞争加剧、消费群体扩张难度加大的风险，“读者出版传媒股份有限公司”采取了多种应对措施。首先，他们积极向第二次售卖、第三次售卖布局，实现了对目标消费群体的深度挖掘。其次，他们推出了一系列相关产品，如高考作文素材增刊、中考作文素材增刊、编辑《读者 30 年合订本》以及《读者·校园版》，引导二次消费，提高购买率。此外，他们还在期刊经营的策略上不再局限于对期刊内容的一次售卖，而是积极向第二次售卖、第三次售卖布局，实现了对目标消费群体的深度挖掘。通过这些措施，“读者出版传媒股份有限公司”在一定程度上缓解了纸质媒体竞争加剧、消费群体扩张难度加大的风险。
727,2021年中期报告里，西部利得基金管理有限公司管理的基金中，机构投资者持有份额比个人投资者多的基金有多少只?,根据提供的材料，我无法回答该问题。
729,截止本招股意向书签署日，持有北京天宜上佳高新材料股份有限公司5%以上股份的主要股东有谁？,截止本招股意向书签署日，持有北京天宜上佳高新材料股份有限公司5%以上股份的主要股东为吴佩芳、睿泽产业基金、北工投资、金石灏汭、冯学理。
733,报告期内，山东海看网络科技有限公司主要收入来源是什么？,报告期内，山东海看网络科技有限公司的主要收入来源包括两部分：IPTV 业务和广告运营业务。其中，IPTV 业务的收入主要来自于 iptv 收视费分成收入和购买内容版权的版权费。广告运营业务的收入则来自于为客户提供的广告制作及投放等服务。
737,大连派思燃气系统股份有限公司拥有哪些制造许可证？,大连派思燃气系统股份有限公司拥有国内特种设备A级压力管道组件(仅限燃气调压装置)制造许可证，特种设备A1级高压容器(仅限单层)和A2级第III类低、中压容器设计、制造许可证，以及美国机械工程师协会的ASME授权证书。
744,2009年度杭州中恒电气股份有限公司室外通信电源系统销售价格较2008年度上涨的主要原因是什么？,2009年度杭州中恒电气股份有限公司室外通信电源系统销售价格较2008年度上涨的主要原因是因为本期销售的室外通信电源系统中，单价较高的含蓄电池的产品销售比例较大，致使平均销售单价上涨。
745,山东海看网络科技有限公司所属行业的主要监管部门是什么？,"山东海看网络科技有限公司所处行业为""I 信息传输、软件和信息技术服务业""之""63 电信、广播电视和卫星传输服务""，因此，主要监管部门为广电总局、工信部和文旅部，国务院新闻办公室、国家互联网信息办公室等相关部门在各自职责范围内对行业信息内容实施监督管理，相关行业协会为各自行业提供自律性监管。"
746,南京中电联环保股份有限公司本次发行股数是多少？,"2,500万股"
750,深圳市铁汉生态环境股份有限公司如何发放劳务公司施工人员的工资？,深圳市铁汉生态环境股份有限公司会根据施工队的劳务人员和劳务公司施工人员的不同情况，采用不同的方式发放工资。对于施工队的劳务人员，公司将由各施工队统一编制工资单，经项目组及公司财务部审核通过后，由公司将各人员的工资发放到自然人手中；对于劳务公司施工人员，则是由发行人按照劳务分包合同的约定，向劳务公司支付劳务分包费用，劳务公司向施工人员发放工资，发行人会对劳务公司的工资发放情况进行跟踪监督。具体操作过程为：劳务工在进场施工的同时需将其身份证复印件在发行人处留底，劳务分包对象定期将劳务工考勤与工资表上交给发行人，待发行人财务人员将工资表人员与留底身份证复印件核对无误后，财务人员到项目现场将工资亲自发放到劳务工手中，劳务工持本人身份证原件领取工资并签字确认。
752,确成硅化学股份有限公司的控股股东是谁？,确成硅化学股份有限公司的控股股东是华威国际发展有限公司。
754,宁波立立电子股份有限公司募集资金的6－8英寸硅抛光片扩产项目总投资为多少？,"该项目总投资 53,735 万元，其中固定资产投资 48,563 万元。"
755,报告期内，珠海健帆生物科技股份有限公司核心技术产品的销售收入分别是多少？,"根据给定材料，无法找到关于""珠海健帆生物科技股份有限公司核心技术产品的销售收入分别是多少?""的直接答案。"
756,截至本招股意向书签署日，确成硅化学股份有限公司拥有几家控股子公司？,截至本招股意向书签署日，确成硅化学股份有限公司拥有六家控股子公司（含全资子公司），无其他控股子公司和参股子公司。
757,报告期内，大博医疗科技股份有限公司主营业务的毛利率是多少？,根据给定材料，无法找到关于大博医疗科技股份有限公司主营业务毛利率的直接信息。
761,本次发行前，东莞勤上光电股份有限公司总股本为多少？本次发行的股份约占发行后总股本的比例为多少？,"本次发行前，东莞勤上光电股份有限公司总股本为14,050.00万股。本次发行的股份约占发行后总股本的比例为25.00%。"
765,报告期内，海南双成药业股份有限公司保护氨基酸的采购量怎样变化？产生这样变化的主要原因是什么？,海南双成药业股份有限公司保护氨基酸的采购量逐年下降。其主要原因是公司主导产品“胸腺法新”的生产工艺不断优化使单位产品原材料耗用降低所致。
766,湖南国科微电子股份有限公司所处行业竞争激烈，什么因素可能对公司的成长性带来不利影响？,湖南国科微电子股份有限公司所处行业竞争激烈，如果公司的持续创新能力、管理水平、人才储备等内部因素不能适应公司持续快速发展的需要，或国家鼓励软件产业和集成电路产业发展的若干政策（如增值税税收优惠政策）等外部因素发生重大不利变化，将对公司的成长性带来不利影响。
770,兰州海默科技股份有限公司的哪些产品处于推广阶段？,公司提供的产品包括：用于油井单井计量和测试的“油井多相流量计”，用于对油田区块或者平台所辖全部油井的总产量进行计量的“总量计量多相流量计”，以及用于天然气井口计量和测试的“湿气多相流量计”。其中，油井多相流量计和总量计量多相流量计是公司的成熟技术，已经形成批量销售和应用；湿气多相流量计是公司研制成功的新产品，目前处于推广阶段。
771,2008年南京中电联环保股份有限公司营业收入增长主要来源是什么？,2008年南京中电联环保股份有限公司的营业收入增长主要来源于凝结水精处理、给水处理、废污水处理及中水回用和自动化控制等业务的贡献。
772,在本招股意向书的报告期内，常熟风范电力设备股份有限公司生产所需的主要原材料是什么？,根据给定材料，常熟风范电力设备股份有限公司生产所需的主要原材料没有被明确提及。
776,真兰仪表的主营业务是什么？,真兰仪表的主营业务为燃气计量仪表及配套产品的研发、制造和销售，涵盖了模具开发与生产、零部件制造、软件开发、智能模块研发与生产、燃气计量仪表整机自动化装配的全产业链业务模式。
778,西安启源机电装备股份有限公司战略委员会成员由几名公司董事组成？,西安启源机电装备股份有限公司战略委员会成员由五名公司董事组成。
782,截至2010年6月30日，西安启源机电装备股份有限公司在册员工总数为多少人？,截至到2010年6月30日，西安启源机电装备股份有限公司在册员工总数为564人。
786,广州中海达卫星导航技术股份有限公司的主要发起人是谁？,广州中海达卫星导航技术股份有限公司的主要发起人是廖定海。
788,广东银禧科技股份有限公司设立时的发起人是谁？,广东银禧科技股份有限公司设立时的发起人分别是银禧集团、广能商贸、东莞科投、联景投资和信邦投资。
790,2017年大博医疗科技股份有限公司收到了哪家公司的侵犯专利诉讼？,大博医疗科技股份有限公司在2017年收到了斯恩蒂斯有限公司的侵犯专利诉讼。
791,珠海健帆生物科技股份有限公司在哪些方面形成了较强的竞争优势？,"根据给定材料，珠海健帆生物科技股份有限公司在以下方面形成了较强的竞争优势：

  1. 公司是一家专注于研发、生产、销售血液净化相关产品的国家火炬计划重点高新技术企业，拥有多项专利技术，产品覆盖全国30多个省市自治区，广泛应用于尿毒症、中毒、重型肝病、自身免疫性疾病、多器官功能衰竭等各类急慢性肾功能衰竭治疗领域。
  2. 公司在珠海健帆生物医药产业园区内的新生产基地占地面积约13万平方米，目前一期工程已经建成投产，具备年产800万套血液透析器的生产能力，二期工程正在建设中，预计将进一步扩大公司产能规模。
  3. 公司注重技术研发和创新，建立了完善的研发体系和技术团队，近年来不断推出新产品，增强了公司核心竞争力。此外，公司还与国内外多家知名医院和研究机构开展合作，不断提高技术水平。
  4. 公司积极拓展全球市场，已经在德国、西班牙、意大利、俄罗斯、越南等多个国家取得了医疗器械产品注册证书，实现了国际化销售的布局。

综上所述，珠海健帆生物科技股份有限公司在技术实力、产品质量、产能规模、市场拓展等方面都具备较强的竞争优势。"
793,根据武汉兴图新科电子股份有限公司招股意向书，电子信息行业的下游主要包括哪些行业？,根据给定材料，电子信息行业的下游主要包括军队、政府机关、能源等行业企业。
794,招股意向书中所披露的湖南长远锂科股份有限公司的特别风险因素有哪些？,湖南长远锂科股份有限公司的特别风险因素包括：市场竞争加剧的风险、客户集中度较高的风险、原材料价格波动的风险、安全生产的风险、环境保护的风险、汇率波动的风险等。
795,武汉兴图新科电子股份有限公司参与的哪个工程荣获了国家科技进步一等奖？,"武汉兴图新科电子股份有限公司参与的""某情报、指挥、控制与通信网络一体化工程""荣获了国家科技进步一等奖。"
796,云南沃森生物技术股份有限公司先后承担了多少国家级、省级、市级课题项目？,根据以上材料，云南沃森生物技术股份有限公司先后承担了国家级、省级、市级课题项目 20 余项。
797,海南双成药业股份有限公司的主导产品是什么？,海南双成药业股份有限公司的主导产品是注射用胸腺法新。
800,北京天宜上佳高新材料股份有限公司的控股股东是谁？持有多少的股份？,"控股股东是吴佩芳，持有83,390,000股，占总股本的比例为28.68% 。"
801,2007年广东银禧科技股份有限公司收购了银禧工塑多少股份？这次收购的目的是什么？,2007年广东银禧科技股份有限公司收购了银禧工塑35%的股份。这次收购的目的是为了进一步促进公司发展壮大，增强公司综合竞争力，同时实现谭颂斌先生持有本公司股票的目的。
803,烟台杰瑞石油服务集团股份有限公司的劣势是什么？,根据给定材料，烟台杰瑞石油服务集团股份有限公司的劣势没有被明确指出。
807,中国铁路通信信号股份有限公司的实际控制人是谁？,中国铁路通信信号股份有限公司的实际控制人是国务院国资委。
809,广州中海达卫星导航技术股份有限公司的国内营销网络七大区是哪些？,广州中海达卫星导航技术股份有限公司的国内营销网络七大区是：华东大区、华南大区、华北大区、华中大区、西南大区、东北大区、西北大区。
810,截止2005年12月31日，南岭化工厂的总资产和净资产分别是多少？,截止2005年12月31日，南岭化工厂的总资产为27091.20万元，净资产为14494.86万元。
811,截至2017年12月31日，汉嘉设计集团股份有限公司无形资产原值为多少？账面价值为多少？,"根据您提供的材料，汉嘉设计集团股份有限公司截至2017年12月31日的无形资产原值为2,812.92万元，累计摊销为2,010.42万元，账面价值为802.50万元。"
813,2007年度，联化科技股份有限公司向欧盟出口的销售收入占公司工业业务收入的比重是多少？,2007年度，联化科技股份有限公司向欧盟出口的销售收入占公司工业业务收入的比重是4.92%。
815,报告期各期，深圳市铁汉生态环境股份有限公司经营活动产生的现金流量净额分别为多少？,"深圳市铁汉生态环境股份有限公司2010年9月30日的累计未分配利润为6,658.15万元。"
818,珠海健帆生物科技股份有限公司的产品已覆盖全国多少个省市和医院？,根据材料，珠海健帆生物科技股份有限公司的产品已覆盖全国31个省市和3000多家二级及以上医院。
821,根据招股意向书，预计昇兴集团股份有限公司2015年1-3月实现销售收入的范围是？,根据给定材料，无法回答该问题。
826,烟台杰瑞石油服务集团股份有限公司的产品和服务主要应用于哪个行业？,烟台杰瑞石油服务集团股份有限公司的产品和服务主要应用于石油行业。
827,大博医疗科技股份有限公司合并报表中商誉的金额是多少？,根据给定材料，大博医疗科技股份有限公司合并报表中商誉的金额为无法回答。
830,兰州海默科技股份有限公司的销售方式主要有哪两种？,兰州海默科技股份有限公司的销售方式主要有两种：一种是通过招投标方式获得合同，另一种是通过议标方式获得合同。
834,2009年南京中电联环保股份有限公司支付给职工以及为职工支付的现金共计为多少？,2009年南京中电联环保股份有限公司支付给职工以及为职工支付的现金共计为923.29万元。
835,根据中国证监会颁布《上市公司行业分类指引（2012年修订）》，中国铁路通信信号股份有限公司所属的行业是？,根据给定材料，中国铁路通信信号股份有限公司属于“C37 铁路、船舶、航空航天和其他运输设备制造业”。
837,浙江双飞无油轴承股份有限公司收入是否与其下游客户规模匹配？,"根据给定材料，无法直接回答 ""浙江双飞无油轴承股份有限公司收入是否与其下游客户规模匹配？ ""。因为材料中没有明确提到浙江双飞无油轴承股份有限公司的收入与下游客户规模的关系。"
843,内蒙古君正能源化工股份有限公司发行前每股净资产为多少元？,根据材料中的信息，“内蒙古君正能源化工股份有限公司发行前每股净资产为2.92元。”
844,兰州海默科技股份有限公司的实际控制人是谁？,实际控制人是窦剑文。
